1,213142
2,503272
3,468297
4,556814
5,563581
6,274716
7,267449
8,190598
9,513344
10,1.37282e+06
11,279056
12,594757
13,1.0286e+06
14,255004
15,382882
16,268768
17,637345
18,379057
19,399968
1,213142
2,503272
3,468297
4,556814
5,563581
6,274716
7,267449
8,190598
9,513344
10,1.37282e+06
11,279056
12,594757
13,1.0286e+06
14,255004
15,382882
16,268768
17,637345
18,379057
19,399968
1,287541
2,650322
3,618989
4,736438
5,731763
6,360676
7,355348
8,254777
9,603027
10,1.28354e+06
11,364675
12,693036
13,1.23492e+06
14,349229
15,506860
16,360842
17,789541
18,497784
19,517520
1,348628
2,714300
3,713024
4,855754
5,853705
6,432017
7,430646
8,309412
9,681371
10,1.24067e+06
11,425113
12,783220
13,1.18606e+06
14,412593
15,611061
16,422714
17,850299
18,585487
19,586786
