index,x,y,z
FP1,-166.90917730918747,475.8187610422642,-39.63403334583091
FP2,169.37907500953713,481.3686597316632,-40.1443427880519
F7,-398.39801453144236,240.83373713030406,-64.75259811293117
F3,-284.88761725626017,301.14607608542116,239.23306651320422
FZ,1.7702067540155089,331.769178702612,376.8465127654669
F4,293.9166923206237,307.9139133102544,231.41966194230938
F8,414.16204021214037,251.8756994389838,-68.04125896279983
C3,-370.5872839513806,-65.95295932313323,364.9166120273226
CZ,2.273145059848871,-51.9778517426655,568.3939969555755
C4,380.5655345782753,-61.805844589350585,360.50527040456774
P3,-300.5569521849016,-446.73509190910676,317.1856688649185
PZ,1.841083065435092,-459.930560063959,468.43571743430897
P4,315.6360291920408,-445.44457603077893,320.70680401624344
O1,-166.77706386470138,-637.5976274256566,50.11805733101565
O2,169.2106728936042,-635.9362866859815,49.896923239386545
T3,-477.20226664117445,-90.82770957895013,-52.99280052219394
T5,-410.71008034076095,-416.48451518473723,-14.101550920040266
T4,482.4119590357594,-85.16667683324519,-53.80929562974753
T6,414.2334835340513,-414.3049268559622,-14.402066480459299
